Genus,Class,Family
Salpinctium,Dicotyledons,ACANTHACEAE
Salpingantha,Dicotyledons,ACANTHACEAE
Salpinxantha,Dicotyledons,ACANTHACEAE
Salpixantha,Dicotyledons,ACANTHACEAE
Salviacanthus,Dicotyledons,ACANTHACEAE
Samuelssonia,Dicotyledons,ACANTHACEAE
Sanchezia,Dicotyledons,ACANTHACEAE
Santapaua,Dicotyledons,ACANTHACEAE
Sapphoa,Dicotyledons,ACANTHACEAE
Sarojusticia,Dicotyledons,ACANTHACEAE
Sarotheca,Dicotyledons,ACANTHACEAE
Satanocrater,Dicotyledons,ACANTHACEAE
Sautiera,Dicotyledons,ACANTHACEAE
Schaueria,Dicotyledons,ACANTHACEAE
Schliebenia,Dicotyledons,ACANTHACEAE
Schwabea,Dicotyledons,ACANTHACEAE
Sciaphyllum,Dicotyledons,ACANTHACEAE
Sclerocalyx,Dicotyledons,ACANTHACEAE
Sclerochiton,Dicotyledons,ACANTHACEAE
Scytanthus,Dicotyledons,ACANTHACEAE
Sebastiano-Schaueria,Dicotyledons,ACANTHACEAE
Semnostachya,Dicotyledons,ACANTHACEAE
Semnothyrsus,Dicotyledons,ACANTHACEAE
Sericocalyx,Dicotyledons,ACANTHACEAE
Sericographis,Dicotyledons,ACANTHACEAE
Simonisia,Dicotyledons,ACANTHACEAE
Sinthroblastes,Dicotyledons,ACANTHACEAE
Siphonoglossa,Dicotyledons,ACANTHACEAE
Solenochasma,Dicotyledons,ACANTHACEAE
Solenoruellia,Dicotyledons,ACANTHACEAE
Sooia,Dicotyledons,ACANTHACEAE
Spathacanthus,Dicotyledons,ACANTHACEAE
Sphacanthus,Dicotyledons,ACANTHACEAE
Sphinctacanthus,Dicotyledons,ACANTHACEAE
Spirostigma,Dicotyledons,ACANTHACEAE
Sreemadhavana,Dicotyledons,ACANTHACEAE
Standleyacanthus,Dicotyledons,ACANTHACEAE
Staurogyne,Dicotyledons,ACANTHACEAE
Staurogynopsis,Dicotyledons,ACANTHACEAE
Steirosanchezia,Dicotyledons,ACANTHACEAE
Stenandriopsis,Dicotyledons,ACANTHACEAE
Stenandrium,Dicotyledons,ACANTHACEAE
Stenoschista,Dicotyledons,ACANTHACEAE
Stenosiphonium,Dicotyledons,ACANTHACEAE
Stenostephanus,Dicotyledons,ACANTHACEAE
Stenothyrsus,Dicotyledons,ACANTHACEAE
Stephanophysum,Dicotyledons,ACANTHACEAE
Stethoma,Dicotyledons,ACANTHACEAE
Streblacanthus,Dicotyledons,ACANTHACEAE
Streptosiphon,Dicotyledons,ACANTHACEAE
Strobilacanthus,Dicotyledons,ACANTHACEAE
Strobilanthes,Dicotyledons,ACANTHACEAE
Strobilanthopsis,Dicotyledons,ACANTHACEAE
Strobilorhachis,Dicotyledons,ACANTHACEAE
Strophacanthus,Dicotyledons,ACANTHACEAE
Styasasia,Dicotyledons,ACANTHACEAE
Stylarthropus,Dicotyledons,ACANTHACEAE
Suessenguthia,Dicotyledons,ACANTHACEAE
Sympagis,Dicotyledons,ACANTHACEAE
Symplectochilus,Dicotyledons,ACANTHACEAE
Synandra,Dicotyledons,ACANTHACEAE
Synchoriste,Dicotyledons,ACANTHACEAE
Synnema,Dicotyledons,ACANTHACEAE
Syringidium,Dicotyledons,ACANTHACEAE
Tabascina,Dicotyledons,ACANTHACEAE
Tacoanthus,Dicotyledons,ACANTHACEAE
Taeniandra,Dicotyledons,ACANTHACEAE
Talbotia,Dicotyledons,ACANTHACEAE
Tarphochlamys,Dicotyledons,ACANTHACEAE
Teliostachya,Dicotyledons,ACANTHACEAE
Tessmanniacanthus,Dicotyledons,ACANTHACEAE
Tetraglochidium,Dicotyledons,ACANTHACEAE
Tetragoga,Dicotyledons,ACANTHACEAE
Tetragompha,Dicotyledons,ACANTHACEAE
Tetramerium,Dicotyledons,ACANTHACEAE
Thalestris,Dicotyledons,ACANTHACEAE
Thamnojusticia,Dicotyledons,ACANTHACEAE
Theileamea,Dicotyledons,ACANTHACEAE
Thelepaepale,Dicotyledons,ACANTHACEAE
Thomandersia,Dicotyledons,ACANTHACEAE
Thunbergia,Dicotyledons,ACANTHACEAE
Thyrsacanthus,Dicotyledons,ACANTHACEAE
Thysanostigma,Dicotyledons,ACANTHACEAE
Tremacanthus,Dicotyledons,ACANTHACEAE
Triaenacanthus,Dicotyledons,ACANTHACEAE
Trichacanthus,Dicotyledons,ACANTHACEAE
Trichanthera,Dicotyledons,ACANTHACEAE
Trichocalyx,Dicotyledons,ACANTHACEAE
Trichosanchezia,Dicotyledons,ACANTHACEAE
Trybliocalyx,Dicotyledons,ACANTHACEAE
